"ID","Variable","Resources_services","PurposeOfUse3","Resources_services_coded","Resources_services_TTRAM","PurposeOfUse3_coded","PurposeOfUse3_coded_TTRAM"
118,5,"APP (service developed by the University of Belgrade Computer Centre","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
119,1,"[F-UJI](https://www.f-uji.net/)","FAIRness assessment of the datasets","F-UJI","Deposit & Appraisal, Curation, Quality & Compliance","Dataset Assessment","Dataset Assessment (Deposit & Appraisal, Curation, Quality & Compliance)"
119,2,"[BIDS Validator](https://github.com/bids-standard/bids-validator)","BIDS-compliance assessment of the datasets","BIDS Validator","Deposit & Appraisal, Curation, Quality & Compliance","Dataset Assessment","Dataset Assessment (Deposit & Appraisal, Curation, Quality & Compliance)"
119,3,"[Neurobagel](https://neurobagel.org/)","For dataset harmonization and querying","Neurobagel","Deposit & Appraisal, Curation, Quality & Compliance","Dataset Assessment","Dataset Assessment (Deposit & Appraisal, Curation, Quality & Compliance)"
119,4,,,,,,
119,5,,,,,,
120,1,"COAR Vocabularies (Resource types, access rights, versioning)","Deposit & Appraisal, Curation, Quality & Compliance, Access, Reuse, Preservation","COAR Vocabularies","Deposit & Appraisal, Curation, Quality & Compliance, Reuse, Preservation",,"Deposit & Appraisal, Curation, Quality & Compliance, Reuse, Preservation"
120,2,"ISO Language Codes (ISO 639)","Deposit & Appraisal, Access, Reuse, Preservation","ISO Language Codes (ISO 639)","Discovery & Identification","ISO 639 - Language codes",
120,3,"Persistent Identifier (PID) Registries","Access, Reuse, Preservation","Persistent Identifier (PID) Registries","Access, Reuse, Preservation",," (Access, Reuse, Preservation)"
120,4,"Creative Commons Licences Registry","Access, Reuse","Creative Commons Licences Registry","Access, Reuse","Creative Commons Licence Registry","Access, Reuse"
120,5,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
121,1,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
121,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
121,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
121,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
121,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
121,5,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
122,1,,,,,,
122,2,,,,,,
122,3,,,,,,
122,4,,,,,,
122,5,,,,,,
123,1,,,,,,
123,2,,,,,,
123,3,,,,,,
123,4,,,,,,
123,5,,,,,,
124,1,,,,,,
124,2,,,,,,
124,3,,,,,,
124,4,,,,,,
124,5,,,,,,
125,1,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse,","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
125,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
125,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
125,4,"Creative Commons Licences Registry","Access, Reuse","Creative Commons Licences Registry","Access, Reuse","Creative Commons Licence Registry","Access, Reuse"
125,5,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
125,5,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
126,1,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
126,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
126,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
126,4,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
126,5,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
126,5,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
127,1,,,,,,
127,2,,,,,,
127,3,,,,,,
127,4,,,,,,
127,5,,,,,,
128,1,,,,,,
128,2,,,,,,
128,3,,,,,,
128,4,,,,,,
128,5,,,,,,
129,1,,"Handle System",,,,
129,2,,"OAI-PMH",,,,
129,3,,"Ellena (service developed by the University of Belgrade Computer Centre)",,,,
129,4,,"NomadLite (service developed by the University of Belgrade Computer Centre)",,,,
129,5,,"APP (service developed by the University of Belgrade Computer Centre)",,,,
130,1,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
130,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
130,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
130,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
130,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
130,5,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
131,1,,,,,,
131,2,,,,,,
131,3,,,,,,
131,4,,,,,,
131,5,,,,,,
132,1,,,,,,
132,2,,,,,,
132,3,,,,,,
132,4,,,,,,
132,5,,,,,,
133,1,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
133,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
133,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
133,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
133,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
133,5,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
134,1,"Handle System","Access, Reuse, Preservation","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
134,2,"OAI-PMH","Access","OAI-PMH","Access","Harvesting","Harvesting (Access)"
134,3,"Ellena (service developed by the University of Belgrade Computer Centre)","Deposit & Appraisal (metadata import), Curation (massive metadata editing, ORCID assignment)","Ellena (U. of Belgrade local service)","Deposit & Appraisal, Curation, Quality & Compliance","Curation","Deposit & Appraisal, Curation, Quality & Compliance"
134,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Curation, Quality & Compliance","Funding information","Funding information (Curation, Quality & Compliance)"
134,4,"NomadLite (service developed by the University of Belgrade Computer Centre)","Curation (funding information assignment based on text mining; assigning Web of Science and Scopus article identifiers)","NomadLite (U. of Belgrade local service)","Discovery & Identification","Link to publications","Link to publications (Discovery & Identification)"
134,5,"APP (service developed by the University of Belgrade Computer Centre)","Access, Reuse","APP (U. of Belgrade local service)","Access, Reuse","-","Access, Reuse"
135,1,,,,,,
135,2,,,,,,
135,3,,,,,,
135,4,,,,,,
135,5,,,,,,
136,1,,,,,,
136,2,,,,,,
136,3,,,,,,
136,4,,,,,,
136,5,,,,,,
137,1,,,,,,
137,2,,,,,,
137,3,,,,,,
137,4,,,,,,
137,5,,,,,,
138,1,,,,,,
138,2,,,,,,
138,3,,,,,,
138,4,,,,,,
138,5,,,,,,
139,1,,,,,,
139,2,,,,,,
139,3,,,,,,
139,4,,,,,,
139,5,,,,,,
140,1,"Lithuanian E-Government Gateway (https://www.epaslaugos.lt/portal/)","User authentication","Lithuanian E-Government Gateway (https://www.epaslaugos.lt/portal/)",,"Authentication tools",
140,2,"LITNET FEDI (federated identity service for research and education institutions in Lithuania, https://fedi.litnet.lt/en/)","User authentication","LITNET FEDI (federated identity service for research and education institutions in Lithuania, https://fedi.litnet.lt/en/)",,"Authentication tools",
140,3,"Crossref","DOI provider","Crossref","Discovery & Identification","Finding data","Finding data (Discovery & Identification)"
140,4,,,,,,
140,5,,,,,,
141,1,,,,,,
141,2,,,,,,
141,3,,,,,,
141,4,,,,,,
141,5,,,,,,
142,1,,,,,,
142,2,,,,,,
142,3,,,,,,
142,4,,,,,,
142,5,,,,,,
143,1,,,,,,
143,2,,,,,,
143,3,,,,,,
143,4,,,,,,
143,5,,,,,,
144,1,,,,,,
144,2,,,,,,
144,3,,,,,,
144,4,,,,,,
144,5,,,,,,
145,1,,,,,,
145,2,,,,,,
145,3,,,,,,
145,4,,,,,,
145,5,,,,,,
146,1,,,,,,
146,2,,,,,,
146,3,,,,,,
146,4,,,,,,
146,5,,,,,,
147,1,,,,,,
147,2,,,,,,
147,3,,,,,,
147,4,,,,,,
147,5,,,,,,
148,1,,,,,,
148,2,,,,,,
148,3,,,,,,
148,4,,,,,,
148,5,,,,,,
149,1,,,,,,
149,2,,,,,,
149,3,,,,,,
149,4,,,,,,
149,5,,,,,,
150,1,"This question is too vaguely defined to be answered, sorry... e.g it is not clear if you mean resource WE share or resources we use OTHERS share.",,"This question is too vaguely defined to be answered, sorry... e.g it is not clear if you mean resource WE share or resources we use OTHERS share.",,"__NULL","__NULL ()"
150,2,"Maybe you mean something like the DataCite PID registration service?",,"Maybe you mean something like the DataCite PID registration service?",,"__NULL",
150,3,,,,,,
150,4,,,,,,
150,5,,,,,,
151,1,,,,,,
151,2,,,,,,
151,3,,,,,,
151,4,,,,,,
151,5,,,,,,
152,1,,,,,,
152,2,,,,,,
152,3,,,,,,
152,4,,,,,,
152,5,,,,,,
153,1,,,,,,
153,2,,,,,,
153,3,,,,,,
153,4,,,,,,
153,5,,,,,,
154,1,,,,,,
154,2,,,,,,
154,3,,,,,,
154,4,,,,,,
154,5,,,,,,
155,1,,,,,,
155,2,,,,,,
155,3,,,,,,
155,4,,,,,,
155,5,,,,,,
156,1,,,,,,
156,2,,,,,,
156,3,,,,,,
156,4,,,,,,
156,5,,,,,,
157,1,"myLaminin is a complete RDM platform.",,"None (every service is embedded)",,"None (every service is embedded)","None (every service is embedded)"
157,2,,,,,,
157,3,,,,,,
157,4,,,,,,
157,5,,,,,,
158,1,,,,,,
158,2,,,,,,
158,3,,,,,,
158,4,,,,,,
158,5,,,,,,
159,1,,,,,,
159,2,,,,,,
159,3,,,,,,
159,4,,,,,,
159,5,,,,,,
,,"SURFconext","identity and access management","SURFconext",,"Registries of persons",
